"id_municipality","name","fk_province","geom","is_visible"
13,"Tota",1,"01010000204E120000519C93D2733052C05AC121AE0F9C1640",True
14,"Tunja",2,"01010000204E120000C7AFCA55313352C02C12319BE7001740",True
1,"Sogamoso",1,"01010000204E12000038BD7D4A333552C046D257CB73131740",True
2,"Aquitania",1,"01010000204E1200003FD4A016DB3452C0D7FBB01491301740",True
3,"Cuitiva",1,"01010000204E12000094E39B8E0A3552C07F160287192D1740",True
4,"Firavitoba",1,"01010000204E120000720309DAD33452C05F172B51BA0E1740",True
5,"Gameza",1,"01010000204E120000F2F0AA3C053752C05FA9ADD4A6111740",True
6,"Iza",1,"01010000204E120000E25EFFAA4B3652C05FA132A1C4E61640",True
7,"Mongua",1,"01010000204E12000005D8B47EA83352C0AC7D6D17ED3B1740",True
8,"Mongui",1,"01010000204E1200008E5F71757F3652C0F1AED4D364E71640",True
9,"Nobsa",1,"01010000204E120000DD2418C5613552C0B9FC3A2CCCBB1640",True
10,"Pesca",1,"01010000204E1200001D6650AE103552C0BA0468BDC7B41640",True
11,"Tibasosa",1,"01010000204E120000F17503BE503352C07A5A08F09A011740",True
12,"Topaga",1,"01010000204E120000120E8C02413552C05F73B9F25A151740",True
