id_service_provider;name;address;history;trajectory;start_date;opening_hours;contact_name;contact_mail;contact_web;sector;sidewalk;geom;fk_municipality;contact_cell;contact_phone;id_photo;is_visible
1;Hotel Termales El Batan;Sector Vereda La Vega – Cuitiva;Ubicado en la Vereda la Vega del municipio de Cuitiva, ofrece alojamiento, restaurante, zonas húmedas y actividades de bienestar. ;Dispone de 32 habitaciones las cuales incluyen TV de pantalla plana vía satélite, zona de estar, ropa de cama y baño privado con ducha y artículos de aseo gratuitos. parqueadero gratuito, piscina al aire libre de agua termal, baños turcos y zona de spa.  ;1/01/1883;Visitantes Externos: 8 a 7 pm, Huéspedes 7am  a 11 pm todos los días ;Eleonora Castro Rebolledo;http://elbatan.travel/;https://www.facebook.com/HotelTermalesElBatan/, https://www.instagram.com/explore/locations/259244272/el-batan-iza/?hl=es-la;;Vereda la Vega ;;4;3212427511;3125923325;;
2;La Tertulia;Km 1 vía al batan vereda Aguacaliente – Iza;Ubicada a 1km de la plaza principal del municipio de Iza, en la Vereda Aguacaliente y queda cerca a las piscinas termales de Iza. Cuenta con 3 habitaciones. ;La Tertulia, cuenta con habitaciones cómodas, zona de camping, cocina, mini bar, zona de fogata, parqueadero y admiten la llegada de nuestras mascotas. ;1/12/16;Permanente ;Laura Natalia Bustamante Camargo;www.cabañalatertuliaiza.com ;https://www.facebook.com/laTertuliaIza/, https://www.instagram.com/latertuliaiza/?hl=es-la;;Vereda Aguacaliente ;;3;3142148996;3125665867;;
3;Posada Andalucía;Vereda Aguacaliente Finca Andalucía – Iza;La Posada Andalucía, está ubicada en la Vereda Aguacaliente del Municipio de Iza, es una Posada Rural, en la cual se puede gozar de la tranquilidad de la naturaleza. Cuenta con 4 habitaciones y un altillo;La Posada Andalucía además de ofrecer alojamiento en casa rural, cuenta con estacionamiento, zona de camping, wifi, zona de picnic, sala de estar con TV y admite mascotas.  También realizan Talleres Demostrativos de telar, huerta organiza y Galpón de gallinas.  ;1/11/16;Permanente ;Yaqueline Marín Juan;;https://www.facebook.com/izandalucia/;;Vereda Aguacaliente;;3;3212296323;;;
4;Cabaña San Fernando;Iza: Vereda Toquilla sector Mendoza;La Cabaña se encuentra ubicada en la Vereda Toquilla en Iza, en medio de la naturaleza, cuenta con 1 habitación con vista al jardín. ;La Cabaña San Fernando ofrece una cabaña que cuenta con una habitación que incluye ropa de cama y toallas, 1 baño, sala comedor, cocina equipada, zona de parqueadero y se puede llevar la mascota, además incluye servicio de alquiler de coches. ;1/03/17;"Check in: 1 pm – Check Out: 12:30 pm 
Reservas a los número y paginas de contacto. ";Yolanda Vega Jiménez;;https://www.facebook.com/cabanacamoestresanfernando/, https://www.instagram.com/cabanacampestresanfernando/?hl=es-la;Mendoza;Vereda Toquilla;;3;3124589004;;;
5;Centro Turístico Buenos Aires;Iza: Km 1 vía Vereda Toquilla;El centro Turístico Buenos Aires cuenta con Alojamiento, Gastronomía y Salón para eventos especiales. ;Cuenta con alojamiento en Cabaña, hotel y Camping, tiene capacidad para 24 personas, el valor de la tarifa incluye desayuno, Ofrece también servicio de Restaurante los fines de semana, parqueadero gratuito y se puede llevar la mascota.  ;1/01/12;"Alojamiento: Permanente 
Restaurante: Fines de semana de 12m a 5pm ";María Fernanda López López;https://centroturisticobuenosairesiza.com/;https://www.facebook.com/ctbuenosaires/;;Vereda Toquilla ;;3;3125470578;3133129155;;
6;Glamping Nido Verde;Iza: Vereda Toquilla Sector la Mendoza;El Glamping Nido Verde se encuentra ubicado en la Vereda Toquilla, es un lugar de comodidad y tranquilidad. ;Ofrece el servicio de alojamiento, tanto en Glamping como en Cabaña, los dos alojamientos cuentan con  cocina, parqueadero y se puede llevar la mascota. ;1/03/18;Permanente ;Gloria Inés Jiménez Zorro;;https://www.facebook.com/nidoverdeiza/;Mendoza ;Vereda Toquilla;;3;3112239015;;;
7;Hostería Sausalito;Iza: Vereda Agua Caliente Iza, a 800 metros del parque principal;la Hostería Sauzalito o Rincón de los Sauces, ofrece alojamiento en la Vereda Toquilla.;Ofrece servicio de alojamiento en el hotel y Camping, además del servicio de Restaurante para los huéspedes y piscina termal.  ;1/01/70;Permanente ;Constantino Augusto Rodríguez;;https://www.facebook.com/hosteria.sausalito?fref=search&__tn__=%2Cd%2CP-R&eid=ARD65zuoK9Oa7TgGoJ651QAkrhqfoxk9BngcuGK_h846cDelZkNZ_g5vPYrKjf66k6aT595kMwVk2Zrv;;veredaAguacaliente ;;3;3114756057;3103111615;;
8;Hotel Rosa María Termal Boutique;Iza: Vereda Agua Caliente vía Piscinas Erika;El Hotel Rosa María se encuentra ubicado en la Vereda Aguacaliente y ofrece servicio de alojamiento y spa. ;El Hotel Rosa María cuenta con 9 habitaciones las cuales a su vez cuentan con Tv, zona de plancha y vista a la piscina, la tarifa de alojamiento incluye desayuno y la entrada a piscina termal.  Los huéspedes disfrutarán de una ducha, una bañera de hidromasaje y zapatillas proporcionados en los baños;1/01/17;Permanente ;Jorge Eduardo Marino;;https://www.facebook.com/Hotel-Rosa-Mar%C3%ADa-416712109154319/;Piscinas Erika;Vereda Agua Caliente;;3;3108810731;;;
9;Hotel Villa Consuelo;Iza: Km 12 vía Sogamoso – Iza: Vereda Toquilla;Ubicada en la Vereda Toquilla, en la avenida principal cerca del casco urbano de Iza. ;La hacienda cuenta con 5 habitaciones cómodas servicio de parqueadero, bar y admite mascotas. ;1/05/19;Permanente ;Guillermo Vera;;https://www.facebook.com/HOTELHaciendaVillaConsuelo/;;Vereda Toquilla ;;3;3117064878;;;
10;Complejo Termal Piscinas Erika;Iza: Vereda Aguacaliente;Ubicado en la Vereda Aguacaliente, ofrece servicio de alojamiento y Piscina termal. ;Ofrece servicio de alojamiento en el hotel y Camping, la tarifa del hotel incluye el desayuno y la entrada a piscina termal.;1/01/10;"Hotel: Permanente 
Piscinas: 6am a 7pm ";Elvira Rodríguez de Sánchez;;https://www.facebook.com/piscinaerika.iza/ ;;Vereda Aguacaliente ;;3;3108810731;;;
